,tweet_raw,sent_raw,tweet_clr,sent_clr,tweet_st,sent_st,tweet_lm,sent_lm
61,"@PeterTatchell @zoesqwilliams You're better than this Tatchell. A global covid supply chain crisis and a WAR IN EUROPE are responsible for the inflation equally, with the ""sticky"" nature due to printing money to deal with welfare concerns over the last 20 years.",positive,better tatchell global covid supply chain crisis war europe responsible inflation equally sticky nature due printing money deal welfare concerns last years,positive,better tatchel global covid suppli chain crisi war europ respons inflat equal sticki natur due print money deal welfar concern last year,positive,good tatchell global covid supply chain crisis war europe responsible inflation equally sticky nature due printing money deal welfare concerns last years,positive
62,"The war opened in Ukraine by Russia will affect Europe more than the US, both in terms of increasing inflation and weakening growth. 

Russia was before the sanctions and embargo started, the supplier of 25% of Europe’s oil and 40% of its natural gas.",positive,war opened ukraine russia affect europe us terms increasing inflation weakening growth russia sanctions embargo started supplier europe oil natural gas,positive,war open ukrain russia affect europ us term increas inflat weaken growth russia sanction embargo start supplier europ oil natur ga,neutral,war opened ukraine russia affect europe us terms increasing inflation weakening growth russia sanctions embargo started supplier europe oil natural gas,positive
63,@RonnieM9999 @MatthewStadlen Inflation is a separate issue mainly caused by lockdown and a war in Europe. Without Brexit the working class would have been even harder hit by inflation due to depressed earnings.,negative,inflation separate issue mainly caused lockdown war europe without brexit working class would even harder hit inflation due depressed earnings,negative,inflat separ issu mainli caus lockdown war europ without brexit work class would even harder hit inflat due depress earn,negative,inflation separate issue mainly caused lockdown war europe without brexit working class would even hard hit inflation due depressed earnings,negative
64,"@JamesKe70562214 @JonScot05141213 @dbongino Here is another thing: the US is the 14th affected country in all inflation, Europe is primarily all of those 14 besides Argentina and Brazil being two outsiders .. so if you think inflation hit the US hard, no .. we are not in that war zone…..",positive,another thing us th affected country inflation europe primarily besides argentina brazil two outsiders think inflation hit us hard war zone,positive,anoth thing us th affect countri inflat europ primarili besid argentina brazil two outsid think inflat hit us hard war zone,negative,another thing us th affected country inflation europe primarily besides argentina brazil two outsiders think inflation hit us hard war zone,positive
65,"Cities all around Europe are actually busy with restoring some old aesthetics. Communist buildings are being teared down, but I do not think with the current inflation, having luxerious looking cities must be a priority.",positive,cities around europe actually busy restoring old aesthetics communist buildings teared think current inflation luxerious looking cities must priority,positive,citi around europ actual busi restor old aesthet communist build tear think current inflat luxeri look citi must prioriti,positive,cities around europe actually busy restoring old aesthetics communist buildings teared think current inflation luxerious looking cities must priority,positive
66,Inflation in the Baltics: a warning for the rest of Europe https://t.co/ztqrnzFaMw,neutral,inflation baltics warning rest europe,neutral,inflat baltic warn rest europ,neutral,inflation baltics warning rest europe,neutral
67,Spain announces $10.6 bln package to ease inflation pain https://t.co/6P6xqmPd1s,neutral,spain announces bln package ease inflation pain,neutral,spain announc bln packag eas inflat pain,neutral,spain announces bln package ease inflation pain,neutral
68,When the potato was first introduced to Europe they were planted as a novelty and limited to small garden plots because field agriculture was governed by tradition,negative,potato first introduced europe planted novelty limited small garden plots field agriculture governed tradition,negative,potato first introduc europ plant novelti limit small garden plot field agricultur govern tradit,neutral,potato first introduced europe planted novelty limited small garden plots field agriculture governed tradition,negative
69,Europe accuses US of profiting from war https://t.co/w3Zebwcq66,neutral,europe accuses us profiting war,neutral,europ accus us profit war,neutral,europe accuses us profiting war,neutral
70,"@andersagf @paulkrugman Tesla has 14% market share in NOR and droping quickly. Add the liberalism in Europe were 90% hated Trump, and i think there Tesla will take a massive hit.
It is burnning on all fronts though. China demand issues. Margins shrinking through inflation (cost increase) and price cuts.",negative,tesla market share droping quickly add liberalism europe hated trump think tesla take massive hit burnning fronts though china demand issues margins shrinking inflation cost increase price cuts,negative,tesla market share drope quickli add liber europ hate trump think tesla take massiv hit burn front though china demand issu margin shrink inflat cost increas price cut,negative,tesla market share droping quickly add liberalism europe hated trump think tesla take massive hit burnning fronts though china demand issues margins shrinking inflation cost increase price cuts,negative
71,"#Europe 🇪🇺 and the #wider western world struggle with #soaring energy #costs and sky-high #inflation, the #American oil 🛢 firm said it believed the EU had overreached its powers with the windfall tax. 

https://t.co/Jb3kVGbDC4",negative,europe wider western world struggle soaring energy costs sky high inflation american oil firm said believed eu overreached powers windfall tax,negative,europ wider western world struggl soar energi cost sky high inflat american oil firm said believ eu overreach power windfal tax,negative,europe wide western world struggle soaring energy costs sky high inflation american oil firm said believed eu overreached powers windfall tax,negative
72,"@ThePakistanExp1 I loathed the two's politics when PPP, pmln joined hands with PTI to give extension to BAJWA. I loathed them when Maryam Nawaz went to Europe for refreshment after ""vote ko Izat do"" and left us to above 30% inflation. That day I realized BB never fought 4 us by 4 bilawal",neutral,loathed two politics ppp pmln joined hands pti give extension bajwa loathed maryam nawaz went europe refreshment vote ko izat left us inflation day realized bb never fought us bilawal,neutral,loath two polit ppp pmln join hand pti give extens bajwa loath maryam nawaz went europ refresh vote ko izat left us inflat day realiz bb never fought us bilaw,neutral,loathed two politics ppp pmln joined hands pti give extension bajwa loathed maryam nawaz went europe refreshment vote ko izat left us inflation day realized bb never fought us bilawal,neutral
73,"Europe is unhappy with U.S. inflation-cutting law that could lead to a trade war.
Europe's concerns stem from a $369 billion U.S. package of subsidies and tax breaks to support U.S. green business.
#USA #EUROPE #EU #France #Germany 
https://t.co/n2xf2drU78",negative,europe unhappy u inflation cutting law could lead trade war europe concerns stem billion u package subsidies tax breaks support u green business usa europe eu france germany,negative,europ unhappi u inflat cut law could lead trade war europ concern stem billion u packag subsidi tax break support u green busi usa europ eu franc germani,negative,europe unhappy u inflation cutting law could lead trade war europe concerns stem billion u package subsidies tax breaks support u green business usa europe eu france germany,negative
74,"If you are comparing Pakistan's  inflation, commodities' prices with Europe or Americas,

Then compare the salary, wages, basic rights, law and order too.

Don't be intellectually dishonest.

#PDM",negative,comparing pakistan inflation commodities prices europe americas compare salary wages basic rights law order intellectually dishonest pdm,negative,compar pakistan inflat commod price europ america compar salari wage basic right law order intellectu dishonest pdm,negative,comparing pakistan inflation commodities prices europe americas compare salary wages basic rights law order intellectually dishonest pdm,negative
75,"The thing is, our political machine doesn't seem to get that wars are won on the battlefield and that Russia is gearing up for a major offensive.  Europe is running out of ammo, facing an inflation crisis, and not looking very stable at the moment... https://t.co/ERvKAWc9YU",positive,thing political machine seem get wars battlefield russia gearing major offensive europe running ammo facing inflation crisis looking stable moment,positive,thing polit machin seem get war battlefield russia gear major offens europ run ammo face inflat crisi look stabl moment,positive,thing political machine seem get wars battlefield russia gearing major offensive europe running ammo facing inflation crisis looking stable moment,positive
76,@EU_Commission It’s remarkable that you’re taking pride in taking  steps to  deindustrialize Europe and drive up the inflation. You are aware that rhis will lead to civil unrest and possible civil war? Is this your agenda or are you just that incompetent?,positive,remarkable taking pride taking steps deindustrialize europe drive inflation aware rhis lead civil unrest possible civil war agenda incompetent,positive,remark take pride take step deindustri europ drive inflat awar rhi lead civil unrest possibl civil war agenda incompet,neutral,remarkable taking pride taking steps deindustrialize europe drive inflation aware rhis lead civil unrest possible civil war agenda incompetent,positive
77,"Inflation in the Baltics: a warning for the rest of Europe https://t.co/5ImEH8DJfS 
 | $TSLA $SOFI $QQQ $NDX $VIX $UAL $SPX $AAL $RCL $DWAC $BABA $AHT $AAPL $DAL $PENN $LUV $F $MULN $ING $AMC $GLE $SAVE $DKNG $JETS $NIO $CZR $JBLU $CCL $NCLH $LCID $BBBY $MGM  $BYD $GME $SPY  #DAX",neutral,inflation baltics warning rest europe tsla sofi qqq ndx vix ual spx aal rcl dwac baba aht aapl dal penn luv f muln ing amc gle save dkng jets nio czr jblu ccl nclh lcid bbby mgm byd gme spy dax,neutral,inflat baltic warn rest europ tsla sofi qqq ndx vix ual spx aal rcl dwac baba aht aapl dal penn luv f muln ing amc gle save dkng jet nio czr jblu ccl nclh lcid bbbi mgm byd gme spi dax,neutral,inflation baltics warning rest europe tsla sofi qqq ndx vix ual spx aal rcl dwac baba aht aapl dal penn luv f muln ing amc gle save dkng jets nio czr jblu ccl nclh lcid bbby mgm byd gme spy dax,neutral
78,"@themartinmama @thelawyeryogi Are you purposefully forgetting about the wars in Europe and the Middle East that are cutting off supplies to everything from grain to natural gas to oil production? I think that’s as big a factor, if not greater, in global inflation and the global lack of supplies in stores.",negative,purposefully forgetting wars europe middle east cutting supplies everything grain natural gas oil production think big factor greater global inflation global lack supplies stores,neutral,purpos forget war europ middl east cut suppli everyth grain natur ga oil product think big factor greater global inflat global lack suppli store,positive,purposefully forgetting wars europe middle east cutting supplies everything grain natural gas oil production think big factor great global inflation global lack supplies stores,positive
79,"How #wage indexation is calculated in #Belgium depends on the sector but people whose pay is re-calculated each year on January 1st - some one million employees - can expect a #payrise of more or less 11.59%.

#PayisPowerful #GetPayRight (via @Reuters) https://t.co/KYKpdQVOwD",positive,wage indexation calculated belgium depends sector people whose pay calculated year january st one million employees expect payrise less payispowerful getpayright via,negative,wage index calcul belgium depend sector peopl whose pay calcul year januari st one million employe expect payris less payispow getpayright via,negative,wage indexation calculated belgium depends sector people whose pay calculated year january st one million employees expect payrise less payispowerful getpayright via,negative
80,"@amyklobuchar It’s so very important that people on both sides of this issue with their intractable positions continue to hold the line.  Most of us don’t mind high inflation, empty shelves, possible war in Europe, unchecked immigration, etc, as long as you all can sort that one out.",positive,important people sides issue intractable positions continue hold line us mind high inflation empty shelves possible war europe unchecked immigration etc long sort one,positive,import peopl side issu intract posit continu hold line us mind high inflat empti shelv possibl war europ uncheck immigr etc long sort one,positive,important people sides issue intractable positions continue hold line us mind high inflation empty shelves possible war europe unchecked immigration etc long sort one,positive
81,"Global bonds fell in thin trading on concern #China’s decision to relax #coronavirus curbs would spur #inflation.

https://t.co/5mFbaw1MxV",negative,global bonds fell thin trading concern china decision relax coronavirus curbs would spur inflation,negative,global bond fell thin trade concern china decis relax coronaviru curb would spur inflat,negative,global bonds fell thin trading concern china decision relax coronavirus curbs would spur inflation,negative
82,"@TheRealTimUrban Roundup ready wheat, to name one demon. Europe bans roundup modified foods, and they don't have the same gastrointestinal inflation we do.

Don't eat processed foods. Make your own. Know what goes into what you eat.",positive,roundup ready wheat name one demon europe bans roundup modified foods gastrointestinal inflation eat processed foods make know goes eat,positive,roundup readi wheat name one demon europ ban roundup modifi food gastrointestin inflat eat process food make know goe eat,neutral,roundup ready wheat name one demon europe bans roundup modified foods gastrointestinal inflation eat processed foods make know goes eat,positive
83,"iShares just sent out a quarterly report that basically said inflation is kicking our ass, and we might wanna invest in inflation protected bonds mainly in Europe..",positive,ishares sent quarterly report basically said inflation kicking ass might wan na invest inflation protected bonds mainly europe,negative,ishar sent quarterli report basic said inflat kick ass might wan na invest inflat protect bond mainli europ,negative,ishares sent quarterly report basically said inflation kicking ass might wan na invest inflation protected bonds mainly europe,negative
84,"@IAPolls2022 It’s very disturbing that it’s that close. Perhaps people just don’t remember the good old days of 1.4% inflation $2.35 a gallon gas, a secure boarder, the NASDAQ at 13,500, and no war in Europe. I get it people don’t like looking at the old days but it was just 2 years ago!",positive,disturbing close perhaps people remember good old days inflation gallon gas secure boarder nasdaq war europe get people like looking old days years ago,positive,disturb close perhap peopl rememb good old day inflat gallon ga secur boarder nasdaq war europ get peopl like look old day year ago,positive,disturbing close perhaps people remember good old days inflation gallon gas secure boarder nasdaq war europe get people like looking old days years ago,positive
85,Europe accuses US of profiting from war  https://t.co/BtoaB2e6BD,neutral,europe accuses us profiting war,neutral,europ accus us profit war,neutral,europe accuses us profiting war,neutral
86,"@WobH @Cotic @JohnSimpsonNews So you think Biden did it, but he didn’t realise it would spike pre winter gas prices and inflation in Europe to the point that it would cause a recession? Or that it would boost the price Russia received for it’s gas through the other legal routes? 

https://t.co/5gDZ5Kc06h",positive,think biden realise would spike pre winter gas prices inflation europe point would cause recession would boost price russia received gas legal routes,positive,think biden realis would spike pre winter ga price inflat europ point would caus recess would boost price russia receiv ga legal rout,positive,think biden realise would spike pre winter gas prices inflation europe point would cause recession would boost price russia received gas legal routes,positive
87,"Wouldn't that be nice.
Their profit margin wouldn't be as high, but how many billions do they need? Plus, many would switch over just because it's made in the USA. Just keep making Euro models in Europe, &amp; have a US model. #apple #china #iphone #inflation  https://t.co/SESQXww5zy",positive,nice profit margin high many billions need plus many would switch made usa keep making euro models europe amp us model apple china iphone inflation,positive,nice profit margin high mani billion need plu mani would switch made usa keep make euro model europ amp us model appl china iphon inflat,positive,nice profit margin high many billions need plus many would switch made usa keep making euro models europe amp us model apple china iphone inflation,positive
88,"11. Ukraine crisis
Our latest analysis on lobbying &amp;the Ukraine crisis, from energy and agriculture policy, to tracking the corporate opportunists and their lobby demands,&amp; Putin's support for the far-right across Europe.We also revisit our previous work
👇https://t.co/RGRWeimoEB",positive,ukraine crisis latest analysis lobbying amp ukraine crisis energy agriculture policy tracking corporate opportunists lobby demands amp putin support far right across europe also revisit previous work,positive,ukrain crisi latest analysi lobbi amp ukrain crisi energi agricultur polici track corpor opportunist lobbi demand amp putin support far right across europ also revisit previou work,positive,ukraine crisis late analysis lobbying amp ukraine crisis energy agriculture policy tracking corporate opportunists lobby demands amp putin support far right across europe also revisit previous work,negative
89,@streeknine @DineshDSouza @HouseGOP Inflation has been dropping for the last few months. Same with gas prices. Bidens fault too? Or only when the news is bad?   Also is Biden responsible for inflation in Europe and elsewhere?,negative,inflation dropping last months gas prices bidens fault news bad also biden responsible inflation europe elsewhere,negative,inflat drop last month ga price biden fault news bad also biden respons inflat europ elsewher,negative,inflation dropping last months gas prices bidens fault news bad also biden responsible inflation europe elsewhere,negative
90,Spain announces $10.6 bln package to ease inflation pain | Reuters https://t.co/2vww0RACHT,neutral,spain announces bln package ease inflation pain reuters,neutral,spain announc bln packag eas inflat pain reuter,neutral,spain announces bln package ease inflation pain reuters,neutral
91,"Europe has energy bill caps, we were offered them.

inflation they don't want to bring it down, it will ""devolve"" them

Just watch how long it's kept this way
Being treated immorally wrong like climate change

If they give public pay rises there managers see them as losers",negative,europe energy bill caps offered inflation want bring devolve watch long kept way treated immorally wrong like climate change give public pay rises managers see losers,negative,europ energi bill cap offer inflat want bring devolv watch long kept way treat immor wrong like climat chang give public pay rise manag see loser,negative,europe energy bill caps offered inflation want bring devolve watch long kept way treated immorally wrong like climate change give public pay rises managers see losers,negative
92,Skyrocketing inflation and rent prices leave many in Turkey struggling https://t.co/ermI3VCYHR,positive,skyrocketing inflation rent prices leave many turkey struggling,positive,skyrocket inflat rent price leav mani turkey struggl,neutral,skyrocketing inflation rent prices leave many turkey struggling,positive
93,"Gold price over $1800. Silver price over $24. Inflation moving up in U.S. and Europe. Interest rates moving up. Stock market to crash IN 2023, sending gold and silver higher. Can be last chance to buy gold and silver at these low prices : https://t.co/DcHfVf5xlk",positive,gold price silver price inflation moving u europe interest rates moving stock market crash sending gold silver higher last chance buy gold silver low prices,positive,gold price silver price inflat move u europ interest rate move stock market crash send gold silver higher last chanc buy gold silver low price,positive,gold price silver price inflation moving u europe interest rates moving stock market crash sending gold silver high last chance buy gold silver low prices,positive
94,"1) Economic Growth - Global growth will slow to 1.8% in 2023. Stronger than expected US economy, bump re-opening in China, mild recession in Europe

2) Inflation - Prices will slow, with improvements in shelter &amp; wages. Supply chain to improve further with China re-opening",negative,economic growth global growth slow stronger expected us economy bump opening china mild recession europe inflation prices slow improvements shelter amp wages supply chain improve china opening,negative,econom growth global growth slow stronger expect us economi bump open china mild recess europ inflat price slow improv shelter amp wage suppli chain improv china open,negative,economic growth global growth slow strong expected us economy bump opening china mild recession europe inflation prices slow improvements shelter amp wages supply chain improve china opening,positive
95,"Europe has problem with inflation.

US as more integrated state is dealing better with inflation with rising interest rates.

EU and Eurozone have some heavily indebted countries as their members,so every rise of interest rates endangers some of them.

https://t.co/6eVWLqGSOw",positive,europe problem inflation us integrated state dealing better inflation rising interest rates eu eurozone heavily indebted countries members every rise interest rates endangers,positive,europ problem inflat us integr state deal better inflat rise interest rate eu eurozon heavili indebt countri member everi rise interest rate endang,positive,europe problem inflation us integrated state dealing good inflation rising interest rates eu eurozone heavily indebted countries members every rise interest rates endangers,positive
96,"Inflation in the Baltics: a warning for the rest of Europe https://t.co/XKvaaEeXVV 

#inflation #Baltics #EU #pressure",neutral,inflation baltics warning rest europe inflation baltics eu pressure,neutral,inflat baltic warn rest europ inflat baltic eu pressur,neutral,inflation baltics warning rest europe inflation baltics eu pressure,neutral
97,"@acgrayling Germany was dependent on cheap Russian energy which the EU under the real criminal fraud @vonderleyen has abandoned on instruction from @wef, itself an act of high treason against Europe’s people.  Now inflation is rampant and rates for Germany need to increase to double digits",negative,germany dependent cheap russian energy eu real criminal fraud abandoned instruction act high treason europe people inflation rampant rates germany need increase double digits,negative,germani depend cheap russian energi eu real crimin fraud abandon instruct act high treason europ peopl inflat rampant rate germani need increas doubl digit,positive,germany dependent cheap russian energy eu real criminal fraud abandoned instruction act high treason europe people inflation rampant rates germany need increase double digits,negative
98,Inflation in the Baltics: a warning for the rest of Europe - https://t.co/QBIm6AZ10f,neutral,inflation baltics warning rest europe,neutral,inflat baltic warn rest europ,neutral,inflation baltics warning rest europe,neutral
99,Inflation in the Baltics: a warning for the rest of Europe | Financial Times https://t.co/U9vqXqAOE2,neutral,inflation baltics warning rest europe financial times,neutral,inflat baltic warn rest europ financi time,neutral,inflation baltics warning rest europe financial times,neutral
100,"Look at Venezuela, or Brazil or France or Sweden or Europe and England..riots,inflation, food shortages, in Canada its health care collapses, seniors starvation, death needles. And 40% poverty. Trudo started the rot and trudi is continuing his journey https://t.co/kqhpZIZujp",neutral,look venezuela brazil france sweden europe england riots inflation food shortages canada health care collapses seniors starvation death needles poverty trudo started rot trudi continuing journey,neutral,look venezuela brazil franc sweden europ england riot inflat food shortag canada health care collaps senior starvat death needl poverti trudo start rot trudi continu journey,neutral,look venezuela brazil france sweden europe england riots inflation food shortages canada health care collapses seniors starvation death needles poverty trudo started rot trudi continuing journey,neutral
101,Inflation in the Baltics: a warning for the rest of Europe https://t.co/UjI2PfAMZD,neutral,inflation baltics warning rest europe,neutral,inflat baltic warn rest europ,neutral,inflation baltics warning rest europe,neutral
102,"Japanese stopped buying western bonds.They sold €33bn debt from eurozone’s big4, and have sold $136bn US debt

#Financial world caught off guard by Bank of #Japan’s bombshell. It should not have been. Japanese #inflation reached a 40-year high of 3.6pc in October

#Asia #Europe",positive,japanese stopped buying western bonds sold bn debt eurozone big sold bn us debt financial world caught guard bank japan bombshell japanese inflation reached year high pc october asia europe,positive,japanes stop buy western bond sold bn debt eurozon big sold bn us debt financi world caught guard bank japan bombshel japanes inflat reach year high pc octob asia europ,positive,japanese stopped buying western bonds sold bn debt eurozone big sold bn us debt financial world caught guard bank japan bombshell japanese inflation reached year high pc october asia europe,positive
103,"@wokecircus @stats_feed 😂😂😂 you have no idea: "" Spain is about to make their inflation worse ( One of the countries in Europe with less inflation 🤣🤣🤣🤣) by printing more money to combat inflation ( Spain is in Europe Union, has the Euro as currency money, so it can't print money anymore) 🤣🤣🤣🤦🏻‍♂️",negative,idea spain make inflation worse one countries europe less inflation printing money combat inflation spain europe union euro currency money print money anymore,negative,idea spain make inflat wors one countri europ less inflat print money combat inflat spain europ union euro currenc money print money anymor,negative,idea spain make inflation bad one countries europe less inflation printing money combat inflation spain europe union euro currency money print money anymore,negative
104,"That's the obvious truth, high food price isn't just in Nigeria and Ghana

Europe seems worse. https://t.co/zh9XPMBjOh",negative,obvious truth high food price nigeria ghana europe seems worse,negative,obviou truth high food price nigeria ghana europ seem wors,positive,obvious truth high food price nigeria ghana europe seems bad,negative
105,"After adding trillions to their collective fortunes in 2020 and 2021, the world’s richest people were rocked by 12 months of shaky stock markets, war in Europe and rampant inflation. https://t.co/CENM7yvILb",negative,adding trillions collective fortunes world richest people rocked months shaky stock markets war europe rampant inflation,negative,ad trillion collect fortun world richest peopl rock month shaki stock market war europ rampant inflat,neutral,adding trillions collective fortunes world rich people rocked months shaky stock markets war europe rampant inflation,positive
106,"@batalasart @HempJoco @NotKevinSeifert @ImMeme0 Agriculture did not need to originate in Europe because the people of the fertile crescent brought it there along with the genetic heritage that had been selected for by life in large, complex cities.",negative,agriculture need originate europe people fertile crescent brought along genetic heritage selected life large complex cities,negative,agricultur need origin europ peopl fertil crescent brought along genet heritag select life larg complex citi,negative,agriculture need originate europe people fertile crescent brought along genetic heritage selected life large complex cities,negative
107,"@Politix_LIVE @BTC_Archive Russia 12% inflation while whole europe, usa, japan and australia put huge sanctions on them lol",positive,russia inflation whole europe usa japan australia put huge sanctions lol,positive,russia inflat whole europ usa japan australia put huge sanction lol,positive,russia inflation whole europe usa japan australia put huge sanctions lol,positive
108,"@Lawrence @POTUS @SenSchumer Imagine defending this:
Record inflation
Record 83 billion in advanced military hardware to the Taliban terrorists
Record 750,000 Covid deaths
Record 107,000 drug deaths
Record crime and murder
Record 5.5 million illegals
War in Europe
5 trillion lost in market this year",positive,imagine defending record inflation record billion advanced military hardware taliban terrorists record covid deaths record drug deaths record crime murder record million illegals war europe trillion lost market year,positive,imagin defend record inflat record billion advanc militari hardwar taliban terrorist record covid death record drug death record crime murder record million illeg war europ trillion lost market year,neutral,imagine defending record inflation record billion advanced military hardware taliban terrorists record covid deaths record drug deaths record crime murder record million illegals war europe trillion lost market year,positive
109,Inflation in the Baltics: a warning for the rest of Europe https://t.co/uv8fhnZFeD,neutral,inflation baltics warning rest europe,neutral,inflat baltic warn rest europ,neutral,inflation baltics warning rest europe,neutral
110,"@RoseKpr4715 Handed a ugly mess in Afghanistan
(dealt with it)

World wide inflation has Most of Europe at 12%+
Biden's USA is still growing

Addressed China's attempts at CPU domination
&amp; stood firm

Got NATO in lockstep against Putin

Finally passed a Real Infrastructure bill

Uncle Joe 🇺🇸",negative,handed ugly mess afghanistan dealt world wide inflation europe biden usa still growing addressed china attempts cpu domination amp stood firm got nato lockstep putin finally passed real infrastructure bill uncle joe,negative,hand ugli mess afghanistan dealt world wide inflat europ biden usa still grow address china attempt cpu domin amp stood firm got nato lockstep putin final pass real infrastructur bill uncl joe,negative,handed ugly mess afghanistan dealt world wide inflation europe biden usa still growing addressed china attempts cpu domination amp stood firm got nato lockstep putin finally passed real infrastructure bill uncle joe,negative
111,"@AngelaCahill17 In your dreams. You tanked the economy, costing an eye watering  £74 billion. Tory Brexit - promised sunny uplands, but gave us the slowest growth in Europe. Tory Fuel charges - highest Europe. Tory inflation highest in comparable economies. Broken promise from a broken party.",negative,dreams tanked economy costing eye watering billion tory brexit promised sunny uplands gave us slowest growth europe tory fuel charges highest europe tory inflation highest comparable economies broken promise broken party,negative,dream tank economi cost eye water billion tori brexit promis sunni upland gave us slowest growth europ tori fuel charg highest europ tori inflat highest compar economi broken promis broken parti,negative,dreams tanked economy costing eye watering billion tory brexit promised sunny uplands gave us slow growth europe tory fuel charges high europe tory inflation high comparable economies broken promise broken party,negative
112,"Global bonds fall in thin trading on concern #China’s decision to relax #coronavirus curbs would spur #inflation.

https://t.co/5mFbaw2knt",negative,global bonds fall thin trading concern china decision relax coronavirus curbs would spur inflation,negative,global bond fall thin trade concern china decis relax coronaviru curb would spur inflat,negative,global bonds fall thin trading concern china decision relax coronavirus curbs would spur inflation,negative
113,"Top Headlines
What investors watch out for in emerging markets in 2023
Inflation, recession and earnings among factors to drive U.S. stocks in 2023
China COVID: Reopening could bring down cost of Europe flights say travel agents",positive,top headlines investors watch emerging markets inflation recession earnings among factors drive u stocks china covid reopening could bring cost europe flights say travel agents,positive,top headlin investor watch emerg market inflat recess earn among factor drive u stock china covid reopen could bring cost europ flight say travel agent,positive,top headlines investors watch emerging markets inflation recession earnings among factors drive u stocks china covid reopening could bring cost europe flights say travel agents,positive
114,"@Leeroy_The_Mage @BriannaWu I’m not a fan of his politics obviously but I do hope Canada’s mandate for 2025 and the inflation reduction act sell enough EVs to avoid high emissions and bad outcomes for humanity. The numbers in Europe give me hope, they have reduced emissions significantly in a short time tbh",negative,fan politics obviously hope canada mandate inflation reduction act sell enough evs avoid high emissions bad outcomes humanity numbers europe give hope reduced emissions significantly short time tbh,negative,fan polit obvious hope canada mandat inflat reduct act sell enough ev avoid high emiss bad outcom human number europ give hope reduc emiss significantli short time tbh,negative,fan politics obviously hope canada mandate inflation reduction act sell enough evs avoid high emissions bad outcomes humanity numbers europe give hope reduced emissions significantly short time tbh,negative
115,"@LBC @NickFerrariLBC @emilysheffield A pat on the back, when we still have the lowest growth in Europe, highest inflation and interest rates in over a decade and most of our essential services on strike, without any negotiation from Government. What planet are you on ?",positive,pat back still lowest growth europe highest inflation interest rates decade essential services strike without negotiation government planet,neutral,pat back still lowest growth europ highest inflat interest rate decad essenti servic strike without negoti govern planet,neutral,pat back still low growth europe high inflation interest rates decade essential services strike without negotiation government planet,positive
116,#Inflation in the Baltics: a warning for the rest of Europe - It rose above 20 per cent this summer and is still above 21% in #Lithuania #Latvia and #Estonia https://t.co/st545yPKnJ via @FT #ECB #ChristineLagarde,positive,inflation baltics warning rest europe rose per cent summer still lithuania latvia estonia via ecb christinelagarde,positive,inflat baltic warn rest europ rose per cent summer still lithuania latvia estonia via ecb christinelagard,positive,inflation baltics warning rest europe rose per cent summer still lithuania latvia estonia via ecb christinelagarde,positive
117,The cherry of the cake in Europe! Kosovo and Serbia!! Dealing with the inflation and lack of jobs and productivity that the pandemic left and continues to leave! Deal with the war in Russia and Ukraine! the sanctions that affect everyone! In the short and long term and now.this!,negative,cherry cake europe kosovo serbia dealing inflation lack jobs productivity pandemic left continues leave deal war russia ukraine sanctions affect everyone short long term,negative,cherri cake europ kosovo serbia deal inflat lack job product pandem left continu leav deal war russia ukrain sanction affect everyon short long term,negative,cherry cake europe kosovo serbia dealing inflation lack jobs productivity pandemic left continues leave deal war russia ukraine sanctions affect everyone short long term,negative
118,"Maybe it was initially selling getting ahead of tax loss selling as the trigger. And now it’s the herd running / selling for a few names (due to liquidity, margin, inflation, FED, Treasury auction, Russia, China, North Korea, Japan CB, Europe, ECB, oil, NG, crypto, and whatever). https://t.co/ENBehUpG1B https://t.co/3SIhOqHGAx",negative,maybe initially selling getting ahead tax loss selling trigger herd running selling names due liquidity margin inflation fed treasury auction russia china north korea japan cb europe ecb oil ng crypto whatever,negative,mayb initi sell get ahead tax loss sell trigger herd run sell name due liquid margin inflat fed treasuri auction russia china north korea japan cb europ ecb oil ng crypto whatev,negative,maybe initially selling getting ahead tax loss selling trigger herd running selling names due liquidity margin inflation fed treasury auction russia china north korea japan cb europe ecb oil ng crypto whatever,negative
119,Inflation in the Baltics: a warning for the rest of Europe https://t.co/8JuuLdr3OQ - source/editor :,neutral,inflation baltics warning rest europe source editor,neutral,inflat baltic warn rest europ sourc editor,neutral,inflation baltics warning rest europe source editor,neutral
120,"@POTUS It also brought record inflation, war in Europe, a mess at the border and record crime.  Wrap that up Creepy Pedo Joe #creepypedojoe",negative,also brought record inflation war europe mess border record crime wrap creepy pedo joe creepypedojoe,negative,also brought record inflat war europ mess border record crime wrap creepi pedo joe creepypedojo,negative,also brought record inflation war europe mess border record crime wrap creepy pedo joe creepypedojoe,negative
121,"The money printer is starting to brr again.

#inflation 

BBC News - Spain announces €10bn help to fight rising prices
https://t.co/Om8bAYcuwj",neutral,money printer starting brr inflation bbc news spain announces bn help fight rising prices,neutral,money printer start brr inflat bbc news spain announc bn help fight rise price,neutral,money printer starting brr inflation bbc news spain announces bn help fight rising prices,neutral
